gene_id	pathway_id	pathway_name
HORVU.MOREX.r3.5HG0479110	GO:0000118	histone deacetylase complex
HORVU.MOREX.r3.5HG0495300	GO:0000118	histone deacetylase complex
HORVU.MOREX.r3.6HG0539520	GO:0000118	histone deacetylase complex
HORVU.MOREX.r3.6HG0542720	GO:0000118	histone deacetylase complex
HORVU.MOREX.r3.6HG0578170	GO:0000118	histone deacetylase complex
HORVU.MOREX.r3.6HG0578930	GO:0000118	histone deacetylase complex
HORVU.MOREX.r3.7HG0715600	GO:0000118	histone deacetylase complex
HORVU.MOREX.r3.7HG0716810	GO:0000118	histone deacetylase complex
HORVU.MOREX.r3.7HG0668390	GO:0000120	RNA polymerase I transcription regulator complex
HORVU.MOREX.r3.1HG0000130	GO:0000122	negative regulation of transcription by RNA polymerase II
HORVU.MOREX.r3.1HG0080560	GO:0000122	negative regulation of transcription by RNA polymerase II
HORVU.MOREX.r3.1HG0093590	GO:0000122	negative regulation of transcription by RNA polymerase II
HORVU.MOREX.r3.1HG0093610	GO:0000122	negative regulation of transcription by RNA polymerase II
HORVU.MOREX.r3.2HG0107190	GO:0000122	negative regulation of transcription by RNA polymerase II
HORVU.MOREX.r3.2HG0139860	GO:0000122	negative regulation of transcription by RNA polymerase II
HORVU.MOREX.r3.3HG0218640	GO:0000122	negative regulation of transcription by RNA polymerase II
HORVU.MOREX.r3.3HG0218740	GO:0000122	negative regulation of transcription by RNA polymerase II
HORVU.MOREX.r3.3HG0267080	GO:0000122	negative regulation of transcription by RNA polymerase II
HORVU.MOREX.r3.3HG0267680	GO:0000122	negative regulation of transcription by RNA polymerase II
HORVU.MOREX.r3.3HG0312420	GO:0000122	negative regulation of transcription by RNA polymerase II
HORVU.MOREX.r3.4HG0334810	GO:0000122	negative regulation of transcription by RNA polymerase II
HORVU.MOREX.r3.4HG0346170	GO:0000122	negative regulation of transcription by RNA polymerase II
HORVU.MOREX.r3.4HG0346190	GO:0000122	negative regulation of transcription by RNA polymerase II
HORVU.MOREX.r3.7HG0642250	GO:0000122	negative regulation of transcription by RNA polymerase II
HORVU.MOREX.r3.7HG0658420	GO:0000122	negative regulation of transcription by RNA polymerase II
HORVU.MOREX.r3.7HG0702190	GO:0000122	negative regulation of transcription by RNA polymerase II
HORVU.MOREX.r3.7HG0745510	GO:0000122	negative regulation of transcription by RNA polymerase II
HORVU.MOREX.r3.1HG0033130	GO:0000123	histone acetyltransferase complex
