pathway_id	pathway_name	source	source_version	filled_date_utc
GO:0051131	chaperone-mediated protein complex assembly	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0051211	anisotropic cell growth	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0051228	mitotic spindle disassembly	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0051262	protein tetramerization	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0051266	sirohydrochlorin ferrochelatase activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0051267	obsolete CP2 mannose-ethanolamine phosphotransferase activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0051295	establishment of meiotic spindle localization	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0051306	mitotic sister chromatid separation	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0051377	mannose-ethanolamine phosphotransferase activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0051382	kinetochore assembly	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0051391	tRNA acetylation	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0051392	tRNA cytidine N4-acetyltransferase activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0051415	microtubule nucleation by interphase microtubule organizing center	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0051455	spindle attachment to meiosis I kinetochore	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0051500	D-tyrosyl-tRNA(Tyr) deacylase activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0051511	negative regulation of unidimensional cell growth	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0051512	positive regulation of unidimensional cell growth	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0051513	regulation of monopolar cell growth	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0051537	2 iron, 2 sulfur cluster binding	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0051538	3 iron, 4 sulfur cluster binding	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0051539	4 iron, 4 sulfur cluster binding	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0051560	mitochondrial calcium ion homeostasis	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0051575	5'-deoxyribose-5-phosphate lyase activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0051598	meiotic recombination checkpoint signaling	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0051601	exocyst localization	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0051682	galactomannan catabolic process	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0071008	U2-type post-mRNA release spliceosomal complex	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0071596	ubiquitin-dependent protein catabolic process via the N-end rule pathway	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0080120	CAAX-box protein maturation	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
GO:0097163	sulfur carrier activity	go-basic.obo (purl.obolibrary.org/obo/go/go-basic.obo)	releases/2026-07-26	2026-09-07
