gene_id	gene_name	description
HORVU.MOREX.r3.2HG0116840	NA	NA
HORVU.MOREX.r3.6HG0618160	NA	NA
HORVU.MOREX.r3.5HG0534480	NA	NA
HORVU.MOREX.r3.5HG0522510	NA	NA
HORVU.MOREX.r3.4HG0408860	NA	NA
HORVU.MOREX.r3.3HG0253420	NA	NA
HORVU.MOREX.r3.7HG0650080	NA	NA
HORVU.MOREX.r3.3HG0288670	NA	NA
HORVU.MOREX.r3.5HG0530200	NA	NA
HORVU.MOREX.r3.2HG0143780	NA	NA
HORVU.MOREX.r3.3HG0245300	NA	NA
HORVU.MOREX.r3.5HG0518190	NA	NA
HORVU.MOREX.r3.2HG0173970	NA	NA
HORVU.MOREX.r3.4HG0400190	NA	NA
HORVU.MOREX.r3.3HG0243900	NA	NA
HORVU.MOREX.r3.3HG0314600	NA	NA
HORVU.MOREX.r3.3HG0325840	NA	NA
HORVU.MOREX.r3.1HG0031220	NA	NA
HORVU.MOREX.r3.3HG0252510	NA	NA
HORVU.MOREX.r3.1HG0023740	NA	NA
HORVU.MOREX.r3.4HG0345900	NA	NA
HORVU.MOREX.r3.4HG0378980	NA	NA
HORVU.MOREX.r3.2HG0161040	NA	NA
HORVU.MOREX.r3.5HG0532220	NA	NA
HORVU.MOREX.r3.5HG0493390	NA	NA
HORVU.MOREX.r3.6HG0569810	NA	NA
HORVU.MOREX.r3.6HG0571820	NA	NA
HORVU.MOREX.r3.7HG0751010	NA	NA
HORVU.MOREX.r3.1HG0057450	NA	NA
HORVU.MOREX.r3.4HG0395340	NA	NA
HORVU.MOREX.r3.4HG0394960	NA	NA
HORVU.MOREX.r3.2HG0115570	NA	NA
HORVU.MOREX.r3.6HG0569410	NA	NA
HORVU.MOREX.r3.2HG0120580	NA	NA
HORVU.MOREX.r3.2HG0158900	NA	NA
HORVU.MOREX.r3.4HG0391980	NA	NA
HORVU.MOREX.r3.2HG0170350	NA	NA
HORVU.MOREX.r3.4HG0343440	NA	NA
HORVU.MOREX.r3.1HG0068830	NA	NA
HORVU.MOREX.r3.6HG0554620	NA	NA
HORVU.MOREX.r3.5HG0533930	NA	NA
HORVU.MOREX.r3.2HG0181490	NA	NA
HORVU.MOREX.r3.2HG0214580	NA	NA
HORVU.MOREX.r3.3HG0330430	NA	NA
HORVU.MOREX.r3.7HG0675280	NA	NA
HORVU.MOREX.r3.3HG0319510	NA	NA
HORVU.MOREX.r3.5HG0510420	NA	NA
HORVU.MOREX.r3.4HG0351360	NA	NA
HORVU.MOREX.r3.2HG0128980	NA	NA
HORVU.MOREX.r3.7HG0678990	NA	NA
HORVU.MOREX.r3.3HG0293420	NA	NA
HORVU.MOREX.r3.2HG0136230	NA	NA
HORVU.MOREX.r3.3HG0315050	NA	NA
HORVU.MOREX.r3.2HG0109340	NA	NA
HORVU.MOREX.r3.6HG0543660	NA	NA
HORVU.MOREX.r3.3HG0252350	NA	NA
HORVU.MOREX.r3.4HG0340660	NA	NA
HORVU.MOREX.r3.1HG0035540	NA	NA
HORVU.MOREX.r3.5HG0468570	NA	NA
HORVU.MOREX.r3.4HG0351430	NA	NA
HORVU.MOREX.r3.6HG0543900	NA	NA
HORVU.MOREX.r3.3HG0281440	NA	NA
HORVU.MOREX.r3.5HG0472090	NA	NA
HORVU.MOREX.r3.6HG0615660	NA	NA
HORVU.MOREX.r3.5HG0486660	NA	NA
HORVU.MOREX.r3.3HG0290210	NA	NA
HORVU.MOREX.r3.3HG0288580	NA	NA
HORVU.MOREX.r3.3HG0271430	NA	NA
HORVU.MOREX.r3.5HG0497840	NA	NA
HORVU.MOREX.r3.1HG0006880	NA	NA
HORVU.MOREX.r3.6HG0615590	NA	NA
HORVU.MOREX.r3.5HG0471330	NA	NA
HORVU.MOREX.r3.5HG0488570	NA	NA
HORVU.MOREX.r3.7HG0689920	NA	NA
HORVU.MOREX.r3.7HG0714530	NA	NA
HORVU.MOREX.r3.5HG0517370	NA	NA
HORVU.MOREX.r3.6HG0618750	NA	NA
HORVU.MOREX.r3.7HG0746090	NA	NA
HORVU.MOREX.r3.5HG0534390	NA	NA
HORVU.MOREX.r3.2HG0101950	NA	NA
HORVU.MOREX.r3.5HG0469420	NA	NA
HORVU.MOREX.r3.3HG0301300	NA	NA
HORVU.MOREX.r3.6HG0588950	NA	NA
HORVU.MOREX.r3.2HG0165820	NA	NA
HORVU.MOREX.r3.3HG0317610	NA	NA
HORVU.MOREX.r3.7HG0641930	NA	NA
